iso2_code,year,quarter,num_repos
PE,2025,2,1439611
PE,2025,3,1540677
PE,2025,4,1648544
PE,2026,1,1726117
PY,2020,1,29848
PY,2020,2,32439
PY,2020,3,35277
PY,2020,4,38083
PY,2021,1,40556
PY,2021,2,43505
PY,2021,3,47050
PY,2021,4,49690
PY,2022,1,53735
PY,2022,2,57150
PY,2022,3,60167
PY,2022,4,64814
PY,2023,1,70083
PY,2023,2,77151
PY,2023,3,83107
PY,2023,4,83370
PY,2024,1,89561
PY,2024,2,100312
PY,2024,3,109095
PY,2024,4,120570
PY,2025,1,126185
PY,2025,2,133275
PY,2025,3,141756
PY,2025,4,153039
PY,2026,1,163202
SR,2020,1,1656
SR,2020,2,1858
SR,2020,3,2146
SR,2020,4,2356
SR,2021,1,2865
SR,2021,2,3124
SR,2021,3,3014
SR,2021,4,3091
SR,2022,1,3406
SR,2022,2,3584
SR,2022,3,4005
SR,2022,4,4176
SR,2023,1,4450
SR,2023,2,4661
SR,2023,3,4851
SR,2023,4,4980
SR,2024,1,5162
SR,2024,2,5389
SR,2024,3,5461
SR,2024,4,5584
SR,2025,1,5915
SR,2025,2,6277
SR,2025,3,6580
SR,2025,4,6953
SR,2026,1,7373
UY,2020,1,65571
UY,2020,2,70318
UY,2020,3,76842
UY,2020,4,86919
UY,2021,1,93211
UY,2021,2,96591
UY,2021,3,104751
UY,2021,4,112746
UY,2022,1,124049
UY,2022,2,135330
UY,2022,3,149288
UY,2022,4,160292
UY,2023,1,172686
UY,2023,2,181190
UY,2023,3,198316
UY,2023,4,209424
UY,2024,1,215937
UY,2024,2,226058
UY,2024,3,238183
UY,2024,4,251275
UY,2025,1,257655
UY,2025,2,269567
UY,2025,3,284550
UY,2025,4,301166
UY,2026,1,309547
VE,2020,1,104299
VE,2020,2,111811
VE,2020,3,121298
VE,2020,4,129941
VE,2021,1,141092
VE,2021,2,153270
VE,2021,3,165237
VE,2021,4,175078
VE,2022,1,190373
VE,2022,2,203298
VE,2022,3,221382
VE,2022,4,234444
VE,2023,1,255496
VE,2023,2,273051
VE,2023,3,288355
VE,2023,4,304615
VE,2024,1,321927
VE,2024,2,339253
VE,2024,3,353254
VE,2024,4,362967
VE,2025,1,380857
VE,2025,2,403230
VE,2025,3,421440
VE,2025,4,438426
VE,2026,1,460235
